PIB,Fecha
1591205.285,1993-03-31 00:00:00
1645078.943,1993-06-30 00:00:00
1662209.955,1993-09-30 00:00:00
1708617.37,1993-12-31 00:00:00
1750226.236,1994-03-31 00:00:00
1864368.817,1994-06-30 00:00:00
1878101.782,1994-09-30 00:00:00
1981408.604,1994-12-31 00:00:00
2126220.471,1995-03-31 00:00:00
2356508.357,1995-06-30 00:00:00
2504153.023,1995-09-30 00:00:00
2774687.614,1995-12-31 00:00:00
3014208.731,1996-03-31 00:00:00
3185547.23,1996-06-30 00:00:00
3309766.859,1996-09-30 00:00:00
3627124.504,1996-12-31 00:00:00
3756065.136,1997-03-31 00:00:00
4058874.225,1997-06-30 00:00:00
4203179.298,1997-09-30 00:00:00
4561538.016,1997-12-31 00:00:00
4764071.123,1998-03-31 00:00:00
4997073.067,1998-06-30 00:00:00
5181379.017,1998-09-30 00:00:00
5429428.979,1998-12-31 00:00:00
5661869.187,1999-03-31 00:00:00
5934314.27,1999-06-30 00:00:00
6162128.337,1999-09-30 00:00:00
6381668.671,1999-12-31 00:00:00
6720563.462,2000-03-31 00:00:00
6958394.987,2000-06-30 00:00:00
7166931.104,2000-09-30 00:00:00
7220526.217,2000-12-31 00:00:00
7320286.31,2001-03-31 00:00:00
7459750.438,2001-06-30 00:00:00
7502163.55,2001-09-30 00:00:00
7466230.339,2001-12-31 00:00:00
7309444.307,2002-03-31 00:00:00
7941409.987,2002-06-30 00:00:00
7971586.016,2002-09-30 00:00:00
8088591.577,2002-12-31 00:00:00
8093632.004,2003-03-31 00:00:00
8253853.483,2003-06-30 00:00:00
8210313.374,2003-09-30 00:00:00
8480333.734,2003-12-31 00:00:00
8730792.149,2004-03-31 00:00:00
9281990.016,2004-06-30 00:00:00
9311925.012,2004-09-30 00:00:00
9668852.016,2004-12-31 00:00:00
9450080.65,2005-03-31 00:00:00
10060019.29,2005-06-30 00:00:00
10062099.172,2005-09-30 00:00:00
10426196.734,2005-12-31 00:00:00
10550621.144,2006-03-31 00:00:00
11227577.554,2006-06-30 00:00:00
11246326.337,2006-09-30 00:00:00
11455938.045,2006-12-31 00:00:00
11430812.047,2007-03-31 00:00:00
12021863.013,2007-06-30 00:00:00
12129428.141,2007-09-30 00:00:00
12604909.422,2007-12-31 00:00:00
12297911.306,2008-03-31 00:00:00
13254081.51,2008-06-30 00:00:00
13139867.071,2008-09-30 00:00:00
13019185.274,2008-12-31 00:00:00
12170951.054,2009-03-31 00:00:00
12466924.428,2009-06-30 00:00:00
12891111.352,2009-09-30 00:00:00
13467484.852,2009-12-31 00:00:00
13359849.385,2010-03-31 00:00:00
13848983.491,2010-06-30 00:00:00
14044018.019,2010-09-30 00:00:00
14619747.192,2010-12-31 00:00:00
14490555.67,2011-03-31 00:00:00
14923547.967,2011-06-30 00:00:00
15341144.459,2011-09-30 00:00:00
16318498.578,2011-12-31 00:00:00
16103739.841,2012-03-31 00:00:00
16384468.001,2012-06-30 00:00:00
16581027.129,2012-09-30 00:00:00
17047261.122,2012-12-31 00:00:00
16420163.73,2013-03-31 00:00:00
16844478.827,2013-06-30 00:00:00
16981720.877,2013-09-30 00:00:00
17569659.293,2013-12-31 00:00:00
17404245.673,2014-03-31 00:00:00
18042241.197,2014-06-30 00:00:00
18219506.292,2014-09-30 00:00:00
18884609.289,2014-12-31 00:00:00
18389552.595,2015-03-31 00:00:00
19087520.892,2015-06-30 00:00:00
19467455.941,2015-09-30 00:00:00
19969929.27,2015-12-31 00:00:00
19541663.274,2016-03-31 00:00:00
20557132.312,2016-06-30 00:00:00
20921915.626,2016-09-30 00:00:00
22014450.811,2016-12-31 00:00:00
21923233.467,2017-03-31 00:00:00
22351037.369,2017-06-30 00:00:00
22424378.365,2017-09-30 00:00:00
23446191.823,2017-12-31 00:00:00
23181578.747,2018-03-31 00:00:00
24136868.094,2018-06-30 00:00:00
24262574.513,2018-09-30 00:00:00
25125660.135,2018-12-31 00:00:00
24545403.861,2019-03-31 00:00:00
25036472.55,2019-06-30 00:00:00
25182909.697,2019-09-30 00:00:00
25722507.113,2019-12-31 00:00:00
25329753.891,2020-03-31 00:00:00
20799463.927,2020-06-30 00:00:00
24267620.879,2020-09-30 00:00:00
25950193.841,2020-12-31 00:00:00
25661431.1,2021-03-31 00:00:00
26634327.965,2021-06-30 00:00:00
26611404.352,2021-09-30 00:00:00
27852970.143,2021-12-31 00:00:00
27959958.635,2022-03-31 00:00:00
29442358.077,2022-06-30 00:00:00
29732283.22,2022-09-30 00:00:00
30929609.23,2022-12-31 00:00:00
30436250.546,2023-03-31 00:00:00
31585234.474,2023-06-30 00:00:00
32096907.634,2023-09-30 00:00:00
33303872.536,2023-12-31 00:00:00
32082079.185,2024-03-31 00:00:00
33903155.102,2024-06-30 00:00:00
34346806.946,2024-09-30 00:00:00
35323276.078,2024-12-31 00:00:00
